qn,ans
money is money . . . .,they put bombs on dolphins . . . .
i don t want to hear it in there .,i don t get it !
great you re here .,hey jackie .
oh doctor !,i think you ve done it master .
yes i do . i know quite a bit about it .,go ahead then .
doesn t that tell you something ? !,yeah . . .they should ve paid their bill .
he might get some publicity out of it .,no use . he s a crab i tell you .
it s happened at last we ve become a limited company .,i ll look in here again .
my name is sir launcelot .,what is your quest ?
who you got ?,well sloan
look i don t care if you believe me or not . . .,i believe you . you had some scary dreams okay ?
what is it ?,power line .
that s right . . .,and it can t be forged ?
thank you,i intend to make a great deal of money off you .
call me a cocksucker and you re outta here !,you re a cocksucker !
that just makes you more gullible .,you stole it from a drunk at the local casbah ? !
oh c mon . for christsake do i have to tell you everything ?,did you ever go to the copa when i was away ?
i want to book a flight to fiji .,where exactly ?
of course .,and not too expensive .
jesus .,hi . what s in the case ?
no . . .,do you remember where you were ?
actually it is a shotgun . hold onto it,in case i need it ?
i will not have you use that name to me .,you will not have it ?
hmmm . he said you were going to have dinner ?,yeah . . .
right now ?,that s my stuff from the office . . .
great chief of st . louis send me .,the district marshall
sorry .,thank you .
yes sir .,do you recognize my voice ?
honey . what were you doing with that ?,i . . . i don t remember .
daddy i d like to be in that wally s shoes every night .,you lucky you in your work boots tonight girl . . .
what good stuff ?,the real you .
but . . .,good day .
pinching ? where ?,everywhere ! ow !
then let s hear them .,no .
nothing but civilians gene .,this is bullshit we dont even know what max looks like .
i d say you re about nineteen twenty am i right ?,what the hell is that ?
i didn t get on cathy last night .,why not ?
okay . you ready ?,yeah yeah . jesus .
he was my blood and i demand to know what happened to him .,why would you ask now ? you never asked before !
i m running away .,you think that s wise ?
no thanks .,no thanks . what does that mean ?
same weight i always was .,you look awful good in that uniform though .
not if you re over sixteen .,okay . thanks a lot linda .
two or three days ! while lyssa is in their hands ?,there is no other way .
why didn t you go ?,too old .
no .,for the last time put them on the table .
who got you into this ?,a guy who calls himself armitage .
jack ! enough !,go ahead .
no you gimme your gun boy !,don t tempt me i ll shoot !
what s in the case ?,eight hundred thousand dollars in cash .
your house is so beautiful .,thank you .
i ll pay extra,how much ?
cramps ?,none of your business . god .
you did .,okay . when do i leave ? half hour ? an hour ?
put it down or i ll shoot .,you wouldn t shoot me would you ?
we back in metropolis ?,no . . .i just have a little stop to make .
what s the coroner got to say ?,something like a razor was the weapon but nothing found on the scene .
how long have you been watching me ?,i have something i have to show you . . .
you got it !,i got it ! i got it ! ! !
we ve got to take this slow . . .,right slow . . .
what do you mean okay ? wouldn t you like a dog ?,sure .
have to drop you here steve .,sure .
why do i think there s never been a ripley rainy day ?,what ?
this is where it started .,what exactly ?
not if you remember my dad .,couldn t you have moved in with your mom ?
i don t know . . .,come on yes you do .
i felt somebody had read my book and was playing a game .,but you didn t hurt
oh good .,he won t do anything for me but for you
yessss ! ah ha ha ha . . .,uh oh .
off with your clothes !,coulmier you animal !
cook by god ! cook ! you re the nigger now .,people don t use that word any more .
so it s sweet of you to be protective . . .,let me rephrase that . . .
you should thank lou and i for the wedding car a buick .,thank you .
it s obvious you haven t raped anyone in your life .,sh !
this is horseshit . it coulda been so easy .,it s gonna be fine .
do us a favour ?,what and get myself beaten up again ?
i haven t seen you around here before .,home school . til today .
what s his real name ?,dr . david ravell .
you calling me a liar ?,no he was probably just resting his eyes .
whose rooms are those ?,your mother s .
a long time .,you promised me an explanation .
i have thought about you .,oh no no no .
what about the fellow in those pictures ?,what pictures ?
thank christ for that .,you are pretty naive if you think it is .
that doesn t mean it was rick s party .,debbie men are pigs if they can have women we can have men .
get in the skiff pearl goodness goodness hurry !,that s daddy !
that s a real good reason to wind up in nam .,i ve seen worse places .
when did she decide this ?,apparently just before her death .
hold her steady into the wind . southwest by west .,yes sir .
you okay ?,when s your birthday ?
he never sees them and i never met them .,how come ?
why would i do that ?,to hide the evidence .
because . . . ?,because we cannot u pay u . . .
you were a soldier ?,i was an officer .
you sure you want to know this ?,yes .
feels good .,i m gonna go get the money .
in europe .,have you told him what s happening ?
listen to me i,listen to me i
it bought us some time .,and now we re all out of it .
who s baxter ?,he did didn t he ? u baxter u !
i suppose boyd is the creative force behind all this .,he is .
okay okay that s enough . go put on some damn clothes .,elroy .
what s the charge ?,you were there jerry . figure it out .
what s wrong with him ?,his vital signs are weak and getting weaker .
yes captain ?,did you decide on a runway yet ?
what is it you want ?,all of it finished .
please do not be frightened madam .,what do you want here ?
yes michael . harder . more . . .,like this . . . ?
what s that ?,you can t drink .
aubrey come on down and have some dinner !,ok . . .
my dear science is a cruel mistress .,but . . . how is he going to breathe ?
claudia let s get married ?,what ! get married ?
i haven t seen her in months .,ah !
you mean you re going to stay up all night ?,mom how else are we gonna see the sunrise ?
life is so goddamn wonderful you almost won t believe it .,honey . . .
i cannot stay .,why not ?
watch the first step .,surf s up .
fine .,beautiful .
yes ?,he was rex rexroth s personal attorney .
yeah .,does osborne agree ?
when you get your car together man let s bail .,you think ? split ?
a dime .,okay . who else ?
spanish please . my mother would have a heart attack .,your mother s family is spanish ?
i killed you .,you fucked up .
tomorrow evening nine . east river drive and rd street .,suppose i meet you there a half hour before .
she was unhappy .,why ?
any of em any good ?,naah . all stable .
carlos . i still owe him two hundred bucks . . .,kit i left that money for you days ago .
let me carry one of the instruments .,thank you . aren t you a sweetheart ?
so did i . now pack up a few basics and,you do ? you do love me ?
i m sorry that was out of line .,i want to go home .
melissa it s sara is that you ?,sara . . . ?
i think he s got a terrific personality .,you know he was formerly a sailor .
sure i got boots . i got boots right here .,then lemme have em .
i don t want it .,honey it s to help you .
i know i know . but still somehow i don t feel better .,all right . how about i feel better when you take them ?
mr lombard . . .,how are you mrs de moraes ?
just sitting down to supper jake . care to join us ?,no thanks .
hey big harold gimme your peaches for the fruitcake man .,fuck you bitch .
you shouldn t get mixed up in this .,well if i do find out something can i look you up again ?
george washington !,who ?
you are at the university candy ?,yes i am .
what then ?,it s stupid .
really ? is he cute ?,he stole a pair of your panties while you were being erased !
ben did this .,u ben u did this ?
frank works hard .,and you don t ?
so you came after all . just in time it s getting interesting .,you must get out of here . it s not safe .
oh lots of times .,did your wishes ever come true ?
that s none of your business .,aha ! is she young ?
why do i keep doing this ?,why indeed ?
then you won t mind if i look around .,i would .
hm . of course it is not quite that simple .,somehow i expected not .
believe me it always works . the simpler the better .,you learn that in the army ?
how much do i owe you ?,forget it .
she s going to help you understand what makes sid . tick .,what she s going to do is get in my way .
are you the one who left that note ?,i guess .
but father it s not fair .,fellows would you excuse us a minute ?
i can watch you eddie . maybe i ll learn something .,this isn t homicide school .
where are you going ?,going ? how do you mean ?
don t you have to be at the office ?,is there any more rice . . . ?
oh . you have to tell me that .,what ? ! i can t hear you !
we re gonna get there first .,how do you know ?
thanks but no thanks .,against your code ?
i love you bob . i really do . forgive me ?,there s nothing to forgive . it was all a dream .
what re you talking about ? we have that .,helen s phone . her office line and the line at my house .
you look beautiful .,okay . . . hold on . . .
what ?,yes . oh look
you can stop . i will go on alone .,we re too far away to walk . don t you understand ?
. . .you ride winston .,you sure ?
hmmmm . . . well the scampi sounds good . . .,you like shrimp ? i like shrimp .
tonight ?,any night .
it seemed like she had such a good time last time .,it s nothing you did mom believe me .
no he had to he s just he s out . . .,he saved my life you know has he told you . . .
did you have a pleasant trip ?,yes thank you . it wasn t bad .
surprised to see me ?,take your boots off . you re tan .
your brother s always looked after you hasn t he ?,since i can remember ma am .
everyone just kind of looked the other way .,how could you ?
i am . . .,no you re shielding her . let her face the world .
anything for science i guess . janey there s something,we should get back what ?
how many trips did you make ?,with ten thousand ? nine .
you could say . i don t even have it yet .,darrell giving you problems ?
well . . .no .,you mean it s heisted .
oh !,send his bags up to my room .
yeah .,where d you get the blood ?
i m not just giving those tickets baxter i want to swap them .,swap them ? for what ?
how long will i be in here ?,i don t know . these things take time .
but brother bembry says i m tall enough for a tall man .,how old are you betty ?
california .,how long you plan to be in arizona ?
don t . i don t like that . what do you want ?,nothing . are you alright ?
do you remember me ?,yeah i remember you .
yeah where were you ?,with you .
nobody s asked for me have they ?,nobody special enough curly .
i can t believe you did that .,i got a good price for it . rents i need the money .
h hey m mack .,yeah kid ?
what s your point ?,i will do no such thing .
you can stay here .,i ll come early tomorrow .
transmission jammed at the source sir .,damn . alert starfleet headquarters . i want to talk with starfleet command .
what ?,i m thinking about taking a trip .
i ll but you one . what ll you have ?,vodka !
he s a very private person actually .,yeah he doesn t happen to know that we went together does he ?
what about keith ?,what you going to do ?
why ?,i m not into finger foods . too fussy .
i do bite my thumb sir !,do you bite your thumb at us ? sir .
. . . a falcon ?,tommy you are the falcon winged lord of the sky .
yes .,admiral may i ask you a question ?
no .,do you want to sleep on it ?
i m doing that too .,i suppose you wish you were somewhere else ?
where s you get it ?,a graduation present .
what did he talk to you about ?,he was upset with moving i believe .
yah ?,yah . now i m hungry again .
were you a drug addict ?,no . never .
beat it out and get hold of some guys .,who do you want ?
up .,and leave me down here ? ? ?
well we ll do that this weekend .,my wife told me to look into . . .
what do you mean by that ?,how i remember them . not necessarily the way they happened .
with us old creeps ? come on we have to eat .,daddy
hey did you guys find my stuff ?,your stuff ?
. . . are you waiting for someone ? an appointment ?,yes . i m waiting for my lunch .
what ?,a billion dollars .
no .,why not ?
no . no . you haven t had any visitors .,that s a lie . my family was here .
ray,she s an alcoholic for christ s sake .
this is the one thing .,i know .
i never saw anybody turn so many shades of red .,i can t wait to see the pictures .
that s none of your business .,you re wrong .
nick no,you sold him out .
we ll be half way down the road with the money .,i d fucking kill you .
those dirty looks . defendant ever aim one of those at you ?,he had no reason to .
does that mean we are or we aren t ?,we are . . .
oh grady . you re such a putz .,i know .
don t beth . please .,it s either this . . . or i kill you .
ok . that s wrong .,dignan it s
how much longer is it gonna be ? i m hungry .,another hour of so . we ve got enough food for a month .
why ?,because i got some plans
count it .,jack . . .
that s five hundred dollars .,what ?
well here are fifty francs .,thank you comrade thank you .
she s finally asleep .,she was a little over excited that s all . poor kid .
what are you doing ?,it s a mess .
the ship out of danger ?,yes
in mr . dyle s room ?,no in my room .
how did you know ?,it hit me like a ton of bricks .
he came into work .,why ? what did he say ?
but not too ashamed .,now you are being rude .
you sure it s okay with you ?,sure . it s fine . as long as you don t snore .
the plan is . . . you go .,me ?
i m at the door .,go way . i ll call a cop .
oops ! i dropped it !,no ! ! !
yeah . what are you doing now ?,i m home from school . my father s in the hospital .
she has no idea who i am .,why are you following me ?
i am calm .,i got a call to this apartment report of a disturbance
you know french ?,sure do . . . my mom s from canada
cool your jets . . .i m doing a little damage control .,damage control ! what kind of damage ? what s going on barnes !
hey i m missing the party !,no ! it can t be !
hi .,want to buy a bed ?
no .,elle it s twenty miles back to campus .
coming to bed ?,few minutes . want to catch the news .
come on in .,i ve got to see you alone !
here i am father .,take a letter .
would it ? she kisses him very softly on the lips .,thank you .
aye .,but yourself ? what about john brown ?
you said you were on leave for the fourth .,they cancelled it . why are you acting like this ?
shh . mommy s here . what is it ?,the voice man ! he s here !
what the hell do you want ? mary tyler moore ?,who s she ?
did you get my card ?,i got it . thank you .
what ?,it s making me hungry .
who told you to do that ?,you did .
it s real brandon . all of it it s real .,i knew it ! . . . i knew it ! . . .
damnit . . . u what u ?,i want you to follow bud white .
you re alive !,yeah i . . . oops !
and what would you do ?,well we could bring in special equipment monitors sound devices things like that .
please don t hurt him .,that all depends on you .
oh i m sure i can .,do it and i ll give you a hundred dollars a week .
you shouldn t do me like that . . .,please please forgive me . . .
got it on you ?,got the information on you ?
clear the area . this is an order !,what is wrong with you ?
no dad .,are you sure ?
is this you ?,i don t know .
gaston monescu .,gaston !
it s prettier here than i thought it would be .,yeah i guess it s all right .
how did they execute him ?,poison gas .
nick s going ?,nick vince albert and john .
tell him bride is in pre production .,ed the landlord doesn t care .
you like it ?,oh yeah !
no no we re fine . . .,are you sure ?
what s it to you ?,can i use some ?
oh god .,caesar ? what the fuck time is it ?
may i ask where the captain is going in his little boat ?,we were going upriver when we got caught in a storm ma am .
that s right . you didn t .,you re not going to notify my father are you ?
paradise city can you boost your power ? we re barely receiving transmission .,transporter room . status .
you don t . . .,in the corporate offices .
sexuality ? ? ? what do you mean ?,you ever fuck a jewish girl ?
. . .i m not the psycho .,hey take a look at your situation and . . .
i d like a few words with you in private .,i m not interested in blind dates .
i m sure you ll see it my way in the end .,dr . symington how big is your dick ?
what ? ?,oh my no !
she s a constant surprise .,and you ve only just met .
remember the alamo ! remember the alamo !,mary . . . please . this is hurting people .
you re having a good time . . . .,i am .
i hate overly ripe bananas they make me want to throw up .,excellent point .
oh my god you guys ! i can t believe we made it !,yeah we graduated high school how totally amazing .
hey this is my office . there s no smoking .,arrest me .
chauncey ! have you seen the papers ?,no eve . i don t read the papers .
how ? by taking my money ?,you can keep what you won today . that s yours .
you re not ?,no . i couldn t do that . i have something for you .
thanks brother . but the fact is i gotta pull up stakes temporarily .,you re leaving ?
goddamn it . i gotta have some kinda life !,there s no call for that language
i hope i never get that old .,you won t .
people now have dignity when frying eggs ?,they don t have to feel like slaves .
who have you talked to ?,no one .
then i m over the fucking top and you owe me a cadillac .,i . . .
what s that ?,causes sleep .
here you are . don t let anyone know where you got them .,thanks . . .
lieutenant you re really frightening me .,get outta here .
hot dr . pepper ! your favorite !,no calvin you re favorite .
no the stones are mine !,you re betrayed shiva .
australia .,what ?
well she out did herself today . . .,i don t got a crush on her .
it means it was homemade .,this is . . . really a shock . . .
it looks . . . .foreign .,jam is jam ! it s just jam !
forget it .,fuck em .
if i were to spare a few policemen where would i station them ?,the front gate would be best general .
you did this before right ?,many times .
i m dreaming this . shit this is a dream .,i m not dreaming .
you get the key ?,they re in d .
that a new picture ?,about months old . i m working in a new style .
you want to skip fourth period and go to the ridge ?,what s wrong with you ?
what about other homosexual facilities whatever they are ?,charles . . .
please have a seat .,thank you . i wouldn t want to interrupt anything .
he go back to the hotel ?,uh . .he might of .
please put it down .,how d he die ?
what s that ?,bench seats .
great car .,the best .
oh shit . you said boss .,yeah i did .
if they kill me,don t think that way .
i m not .,let me be the judge of that .
maybe she used another name .,ray thinks she was murdered .
i thought maybe you d like dinner .,thank you . i would . nice .
not very .,oh . well what is it exactly that you do ?
tom and cynthia kruger .,i know .
do you ever see him ?,occasionally
you will go to palace there .,hasn t the pankot palace been deserted since the mutiny of ?
you never been in one of those things .,i suppose you have . . .
what does bob say ?,he wants to be me . . . or he will kill me .
let him break he likes to break .,fuck you .
yeah right . . .,oh like you haven t been in worse places .
out in back .,you talk to him ?
anyone else ?,this is insanity . sally . . .
i can t see anything .,turn on the light .
you like em scrambled soft or hard sweetie ?,c mere .
talked to sal ? sal s alive ?,kind of . you didn t know ?
how about our last jay ?,good call .
vince knows you re here .,how ?
yeah i m listenin .,then meet me at the dam in fifteen minutes .
i can t tell you . you ve got to see .,uh unh . i won t do it .
my documentary is due on tuesday .,what s your subject ?
it s okay .,stick around please ?
who ?,joey .
what did you do knock her out shoot her up . . . ?,what the fuck do you want from me ?
bucks ?,yeah . hey thanks . that s real nice travis .
what did he find ?,nothing .
jus take it slow buddy .,what happened ? how far did you get ?
no sir .,well good night .
you think that s what s happening ?,i think that s what s happening . . .
i have acted as i think fit .,sir i m a british officer .
thanks .,i hope i helped you out .
why dad ?,because the sky is so clear out here .
three .,done .
there is a grave disturbance in the force .,i have felt it .
jesus christ . jesus fucking christ .,now do you see what i am saying ?
i always wanted to try that .,only don t try putting words in my mouth .
home sweet home !,to you maybe .
right .,then it s a deal .
kiss me on the lips .,give me a break .
yes .,well does marcus have an alibi ?
commander ? are you still there ?,oh yes doolittle i m thinking .
yes .,you don t need braces .
tom . how are you ? you look well .,i m well thank you .
i can t . i work .,you take off when you have to .
jesus christ there s norma stern . look at her hair .,what about it ?
all his life . he s tried everything .,still clear ?
you re shittin me .,you think i m shitting you . . .
i m telling you it was possessed .,theo did you see the animal ?
and here is one of frederick s mother .,how lovely .
my loss,even if i give you a million as well ?
just leave her alone .,i m so sorry .
i ve got something to tell you .,i want to hear it .
did he say anything about my sister ?,just what he told your detective .
if we went there would you be able to find him ?,you re not a film producer are you ?
don t tell me boston is different from new york .,ohh sure you have trouble with commitment .
do ya know him or don t ya ?,yeh but i don t know where he is .
you used to go out with him you broke up with him ?,sure did .
your ex wife .,i know who she is . take a message .
it must be weird for you to have so many sisters ?,no . not at all . it s nice .
no joke ma am . please open the door .,how do i know you are cops ?
oh my god ! america told me your neighbors are coming ?,and here they are !
i saw them dragged out of the administration building .,did anybody notice you ?
you said they wanted to get into some particular safety deposit box ?,the one in brentwood .
where do you live ?,up there .
have you thought about graduate school ?,no .
no maybe put it on the shelf until the old man kicks it .,you re lying to me .
junk ?,you know . . . it s parts . . .
. . . oh ? you ve heard ?,yes . ben called me . he wants me to meet the president .
if i eat it i ll throw up .,well you should at least try a little bit .
miles ?,yes ? marylin ?
what for ? to play fats again ?,yeah to play fats again .
pure horse .,you are such a disappointment benny .
. . . are you sure ?,positive sir .
they re here .,who ?
knock it off . that used to be my girlfriend .,you used to go out with her ?
and i bet you say that to all the girls,no no .
don t say that reading s my salvation .,but why must you indulge in his pornography ?
you can forget that . . . wouldn t be legal anyway .,why ? you wanted for a crime ethan ?
i mean if you didn t know who i was .,you d probably tell me .
israel doesn t have a king .,then what do they have ?
you got some kind of business with him ?,i m looking for him .
sounds good . chart a course for the veil nebula .,pinback throw me the chart log .
oh yeah ? my personality put this thing over,maurice chevalier ! there s a fellow with personality .
we ll take it . . .,it s ear marked for mirror man and the sphinx . . .
did you hear it s yours ?,yup .
dinner . with stan and his new girl .,when ?
when in doubt pull the yellow wire .,how the hell do you feel yellow ?
uh . . . butt snatch . . .,you already said that butt head .
lynch him ! lynch him !,bluebeard !
i told you what they said .,nothing else .
yes sir .,are you listening ?
she wants a divorce .,don t talk like that .
yeah sure .,promise ?
it s okay . this is working . this is gonna work .,whatta we do now ?
yes mr . hillyer i am .,all right tell us rose what makes you think you re pregnant ?
come on . he s a crook .,what crook ?
we stay down here .,we do ?
this is tom ripley . freddie miles .,hey if i m late think what her husband s saying !
it s under . . .,. . .twenty five thousand ?
this time they really mean to stop me .,victor i m afraid for you .
personally i think mr . michael s marrying the wrong girl .,you re much more his type .
how much sleep ?,how long can you go without sleep ?
they don t believe me .,i do .
i brought it . . . to the coroner .,an hour after you picked it up !
i wonder what would make him do a thing like that ?,don t annoy me travis .
i m taking you back . you can still live .,i had immense plans .
do you know his number ?,no i don t know . . .
it s our dog . it belongs to us .,there isn t any us .
well i need to find out as much about daniel as possible .,why ?
get out of the car .,what s with you ?
too neat . how long have you been an investigator ?,i don t think that has anything to do with
i said we are totally booked .,two at nine ? perfect .
my place can t you see ?,no .
mmmm no . not a good idea .,conflict resolution is my job laura .
all right so i made another deal .,i got a new deal for you .
probably must be .,so when was he here ?
no uniforms . no coats even ? in this weather ?,no my lord .
sam ! what a surprise !,are you officer l ?
why ?,. . .i . . .don t know .
it was hard to have him killed .,you ? what do you mean you i thought . . .
i wasn t thinking . i just did it .,big gamble with a thirty million dollar plane !
never mind fred . . . .,no no . . . i ll think on it . . .
don t tell me lies enrique . que paso ?,we was crossin the river
dad ! you don t think she did it ? ? !,i do ! mom s gone crazy !
so what are you up to now ?,i m robbing this place .
cruddy okay ? are you satisfied ?,no . i don t want your work to be cruddy .
don t just stand there ! shoot him !,no you don t !
i want my man back .,just a moment how did you get in here ?
oh no actually . busy night .,oh yeah sunday night . you guys been out tasting today ?
you still mad at m ?,he died a long time ago .
yeh i guess i shoulda had the meat loaf .,it isn t any better .
you sure about that ?,sure i m sure .
aramis . . . is this the way to hell ?,hell may be our destination dear porthos but not this trip .
they re gone .,where d they go ? back inside ?
where d they go ?,swimming .
yes on the floor .,this is a good suit .
so very much .,my parents have money . . .
are you jorge cruz ?,maybe . what s this about ?
are you losing money ?,no i m not losing money that s not the point .
okay bugsy . twenty minutes .,wear a suit i m telling you it works .
what are you listening to chicken ass ?,ah leave him alone . he s doing no harm .
well i gotta go . but i ll come back .,okay .
thank you .,is there anything i can help you with ?
the number you use at the bank machine .,four seven four seven .
best friend ?,since grade school .
i said she s been missing for,no . no you said her body s been missing .
this is like a real apartment . this is really yours ?,i guess so .
excuse me ?,i can be quick . i can even be funny .
where d you come from ?,i don t know . he just appeared as magic .
we talked about a lot of things .,i mean about my getting a divorce .
who are you ? what is your name ?,i don t know i tell you .
did you know my father ?,oh yeah sure . he killed a cop right ?
little chilly .,hope it don t freeze out our baseball game today !
continue to play in the wrong key like you re dyslexic .,dyslexic ?
agnes ? who ? mother superior ?,? ? ?
i am so sorry jesse .,frank and me have to go away for a while .
captain .,captain . right forgive me .
i m sorry .,ok then . keep your chin up and your music down alright ?
i ll trade you my feminine intuition for a bed for the night .,i d be no better than thorwald to refuse .
i don t know .,was he depressed ?
the fault dear david is not in ourselves but in our stars .,you remember how a production eats up one s life .
we re out of here .,right behind you .
good morning .,morning .
her name is charlie .,oh . . .
we keep in radio contact .,you ve been listening in the whole time ?
nice of you . . . thank you .,thank you .
what i did to joey .,you . . . .
i m out .,i don t getcha .
it will be okay .,what will be okay ?
when i left here with the money . . .,mm .
you ve never heard anybody say anything about either movie ?,i find it s best to stay out of other people s affairs .
stop !,always loved you . .
what s her name ?,betty .
yes sir .,mine too ?
let s go home .,but . . .
hey i brought some friends . and some beer .,fine . welcome . come sit down .
no .,say something dear .
son ! out of the water now !,my boat s neat dad !
professor tripp . . . ?,yes james .
then quit . you should be going to school anyway . . .,please veronica . last thing i need is a lecture at this point .
i don t know .,what do you mean ?
is it a good room ?,i can take you down there .
they must have made a visual contact .,must be mach two five stuff . altitude fifteen thousand .
i wanna fight just as dirty as he does .,. . . use his women .
impossible . there s no system that wouldn t value one of us .,why ? what did they do to you ?
shut up ! they got wind of something they don t like !,oh shit !
i want to help you .,not the heart the watch .
suit yourself champ .,okay . . . well i ll see ya then .
wait ! wait ! watch the fucking paint work .,look do you want the bed in or not ?
do you have it ?,yeah . it s right here .
claire when did you . . .,i just . . .
in my office ?,where are you what floor ?
why are they ganging up against me ?,i m not sure . but i think they re worried about you .
absolutely sparrin with the champ would be an honor y know what ?,what ?
what ?,shoot the radio !
don t swear .,yes ma am .
hello miss channing .,my husband . . .
two bits .,i rest my case .
you re sure about this ?,yeah .
stop it .,okay mom .
don t even joke about that !,i m serious ! what happens if he blows up the school ?
for one thing you like expensive things .,thats easy . youve seen my car .
what s that ?,a prairie oyster sir .
we re placing you under arrest for aiding and abetting,what ?
it s my fault .,what
take it easy pop .,don t start on me today .
balint ?,it s german .
not about that .,i m listening .
papa !,don t worry i m not staying here to be a burden .
did you know he was going to be there last night ?,if i had i wouldn t have gone in .
how you feeling all right ?,yeah .
so ? ! is there something wrong with loving somebody who s safe ?,does he love you ?
why would this ship carry instructions in english ?,think about it .
wanna walk me home ?,sure .
mrs . semple is entitled by law to one third of the estate .,and don t ever get down on your knees again understand ?
so what s the uh problem this time ?,this time i really think i have something .
she s here your wounded one .,what are you saying ?
hurry up ! i m freezing !,just a couple more . . .
get to know your therapist .,you were messed up man .
but that s long since . gray can t threaten him with that .,gray has no need to threaten . you remember the trial ?
i did . . .,well we re happy you re here . come inside .
that remote control thing ?,yeah .
yeah .,pop leibel .
playing .,tell me does your daddy ever hit you ?
did you see anything in the files ?,it was all in czech wasn t it .
my father needs a doctor . u please u .,hey i ve got a situation here in case you haven t noticed .
they won t kill it . . . .,we ll divert it . . .we ll do something . . . .
this is my brother s car .,oh ay ?
yes he knew . just . .,. .not in time to save him .
that bothers you ?,he was innocent .
no .,she s dead . call somebody !
maybe they re expecting gruner . i m gonna be him .,he s dutch . you can t even speak dutch .
isn t he . . .,it s . . .
shoot . they don t call me the wizard for nothing .,well i just you know . . .
how do you think i feel ? you shit !,jack . . .
uh huh .,well aren t you excited ?
i m sure it s lovely .,but you don t want to hear it .
what are you laughing at ?,i don t know i think he s funny .
you want me to be a doll forever ?,claudia don t
we was robbed .,it s okay .
turn yourself in .,jerry ?
hasn t anyone ever told you that before ?,let s talk about something else .
oh lord !,that fool . that damn fool .
indeed .,that s not the way to get ahead in life .
he gets off on it .,sylvan can be talked into anything .
what s the matter honey ? gonna miss pilgrim ?,tom s gone .
we have to lose the window .,. . .we can t lose the wind . . .
what did you say his name was ?,eugene de beauharnais .
no onions ?,they make you fart .
. . .ya ?,yeah i believe him . he was my friend .
my lady viola .,my lord .
i thought for sure they would catch me .,thanks .
yes . now . find her . she s somewhere in the building,we re on the air in twenty minutes jimmy .
we ve have to stop !,front armor is gone ! just slow it down a little !
throws what ? how could he have a time bomb ?,just pulled the old match gag see !
anyway down here take a look . . .,mccaffrey hold this for us .
shall we say a dollar ?,it s a bet .
i was sorry to hear about your wife .,yes . . . i got the money .
why ?,just look . little pocket .
it s my birthday this week . i ll be .,happy birthday .
don t forget your identity .,see you next week .
is that bee bee ?,come on !
when you threw it in what did you see ?,. . .i saw nothing .
oh ?,end of church street . next to a grocery store .
who ? just someone we know .,oh ray
yes . they re andy s toys .,alright everyone . you re clear to come up .
get in . youre leaving .,wait .
i m i m afraid i have no money .,oh ! neither have i . i m awfully sorry .
remember me ?,came back for that battery operated vagina right ? told you you would .
you re right . one of my associates sold the building last month .,that s a bozo no no . jay bird .
the game s over . you lost .,it s me you want . not her .
i know . i know .,i know that girl !
what are you laughing at ? who was that on the phone ?,a couple i know are getting married .
the bishop is breathing down our necks .,and the sooner she goes to prison the better off she ll be ?
bene .,i ll call tomorrow .
what s cao ben ?,how old are you ?
pictures like this don t show up on television !,sure they do . the camera can pick this up .
now just a minute,oh cornelius be quiet .
yes .,so can i .
uh huh .,i m kathy .
no of course not .,so do you like me seymour ?
i m sure that s it .,there are no objections to my staying here with her are there ?
what is that ?,it s a sign . he s come home .
you might make a farmer yet .,i ve got a job .
the coroner wants to know if we can release the derelict ?,ask him .
ticket bad . you draw in lines with pencil .,what re you talkin about ?
is he for real ?,one hundred percent . and i like him that way .
don t mention it .,i don t even know your name .
you didn t kill her ?,the time wasn t right .
who is your friend ?,we met on the beach .
laura ? are you okay ?,i am fine . . . i gotta go . goodbye .
oui . nathan s silk suit just like you asked .,great . god i ve wanted you forever .
doubt it . he s dead . the look out s a cemetery .,you own this place ?
was there never ambition ?,maybe once .
goddamnit,see ?
nobody . a boy who works in a grocery .,good looking ?
they hurt his head .,who dorothy ?
okay .,what is it ?
is that a school ?,k through sixth .
coming along jabez ?,shall we ?
french or american ?,both .
i ll tell you later where you going to watch from ?,watch ?
don t you like her ?,no it s a very groovy girl .
all the time . . . .,it ll work . . . .
what are you doing ?,come on !
we want mrs . peel .,dead i m afraid .
wait this isn t the way . who are you ?,they re from my old convent .
it gets worse . he s cut all the phone lines .,what ll we do ?
don t forget to kill the lights . see you monday .,sure . monday and thursday and monday again and thursday again
jane yes . tom ? tom is that you ? is this tom ?,yes .
shame on you !,uh . . .yeah . . .sorry .
. . . what ? ?,the fact is mr . kesher a representative of your bank called us .
no ! get me out !,this is too big for even you . where is it ?
this town ain t big enough for the two of us !,what ? !
not from me surely . . .,you . . . you re a beast !
i m making you a sandwich .,don t bother .
no .,what do you have left ?
hi melanie .,are you getting that black suit ?
christ . . . where the hell is the bathroom ?,funny jack . im laughing on the inside .
i want to make a good film .,i know you do .
how do i know you ll keep your word ?,jesus christ pops don t start with this shit .
dirty pig !,you re a dirty pig !
why that s an echo sir !,you try it .
and what ?,well . . .
where ve you been ?,nowhere . . . hi daddy .
i m getting the jitters ! let s turn back !,okay .
i still think you re a bastard .,what if i chant ?
at a dinner party about eight months ago .,did you ever see her again after that ?
mm . not a very good picture i am told .,uh hub .
don t make conversation with me .,what ?
then why did your king believe in you without any proof ?,go and ask him yourself .
don t worry .,but if they did promote you
i m sorry newt .,you don t have to be sorry . it wasn t your fault .
